each word,porter of each word,lancaster of each word,each len of word after porter,each len of word after lancaster,porter_data_without_stop_words,lancaster_data_without_stop_words
those,those,thos,5,4,-,thos
customers,custom,custom,6,6,custom,custom
who,who,who,3,3,-,-
favour,favour,favo,6,4,favour,favo
silk,silk,silk,4,4,silk,silk
shirts,shirt,shirt,5,5,shirt,shirt
over,over,ov,4,2,-,ov
cotton,cotton,cotton,6,6,cotton,cotton
ones,one,on,3,2,one,-
Although,although,although,8,8,although,although
some,some,som,4,3,-,som
explanations,explan,expl,6,4,explan,expl
of,of,of,2,2,-,-
relationships,relationship,rel,12,3,relationship,rel
may,may,may,3,3,may,may
be,be,be,2,2,-,-
difficult,difficult,difficult,9,9,difficult,difficult
taking,take,tak,4,3,take,tak
advantage,advantag,adv,8,3,advantag,adv
of,of,of,2,2,-,-
it,it,it,2,2,-,-
is,is,is,2,2,-,-
easier,easier,easy,6,4,easier,easy
,,,0,0,,
The,the,the,3,3,-,-
example,exampl,exampl,6,6,exampl,exampl
deals,deal,deal,4,4,deal,deal
with,with,with,4,4,-,-
association,associ,assocy,6,6,associ,assocy
rules,rule,rul,4,3,rule,rul
within,within,within,6,6,within,within
transaction-based,transaction-bas,transaction-based,15,17,transaction-bas,transaction-based
data,data,dat,4,3,data,dat
Not,not,not,3,3,-,-
all,all,al,3,2,-,al
data,data,dat,4,3,data,dat
is,is,is,2,2,-,-
transaction,transact,transact,8,8,transact,transact
based,base,bas,4,3,base,bas
and,and,and,3,3,-,-
logical,logic,log,5,3,logic,log
or,or,or,2,2,-,-
inexact,inexact,inexact,7,7,inexact,inexact
rules,rule,rul,4,3,rule,rul
may,may,may,3,3,may,may
also,also,also,4,4,also,also
be,be,be,2,2,-,-
present,present,pres,7,4,present,pres
within,within,within,6,6,within,within
a,a,a,1,1,-,-
database,databas,databas,7,7,databas,databas
In,in,in,2,2,-,-
a,a,a,1,1,-,-
manufacturing,manufactur,manufact,10,8,manufactur,manufact
application,applic,apply,6,5,applic,apply
an,an,an,2,2,-,-
inexact,inexact,inexact,7,7,inexact,inexact
rule,rule,rul,4,3,rule,rul
may,may,may,3,3,may,may
state,state,stat,5,4,state,stat
that,that,that,4,4,-,-
73\,73\,73\,3,3,73\,73\
of,of,of,2,2,-,-
products,product,produc,7,6,product,produc
which,which,which,5,5,-,-
have,have,hav,4,3,-,hav
a,a,a,1,1,-,-
specific,specif,spec,6,4,specif,spec
defect,defect,defect,6,6,defect,defect
or,or,or,2,2,-,-
problem,problem,problem,7,7,problem,problem
will,will,wil,4,3,-,wil
develop,develop,develop,7,7,develop,develop
a,a,a,1,1,-,-
secondary,secondari,second,9,6,secondari,second
problem,problem,problem,7,7,problem,problem
within,within,within,6,6,within,within
the,the,the,3,3,-,-
next,next,next,4,4,next,next
6,6,6,1,1,6,6
months,month,month,5,5,month,month
Data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
involves,involv,involv,6,6,involv,involv
sorting,sort,sort,4,4,sort,sort
through,through,through,7,7,-,-
large,larg,larg,4,4,larg,larg
amounts,amount,amount,6,6,amount,amount
of,of,of,2,2,-,-
data,data,dat,4,3,data,dat
and,and,and,3,3,-,-
picking,pick,pick,4,4,pick,pick
out,out,out,3,3,-,-
relevant,relev,relev,5,5,relev,relev
information,inform,inform,6,6,inform,inform
It,it,it,2,2,-,-
is,is,is,2,2,-,-
usually,usual,us,5,2,usual,us
used,use,us,3,2,use,us
by,by,by,2,2,-,-
businesses,busi,busy,4,4,busi,busy
intelligence,intellig,intellig,8,8,intellig,intellig
organizations,organ,org,5,3,organ,org
and,and,and,3,3,-,-
financial,financi,fin,7,3,financi,fin
analysts,analyst,analyst,7,7,analyst,analyst
but,but,but,3,3,-,-
is,is,is,2,2,-,-
increasingly,increasingli,increas,12,7,increasingli,increas
used,use,us,3,2,use,us
in,in,in,2,2,-,-
the,the,the,3,3,-,-
sciences,scienc,sci,6,3,scienc,sci
to,to,to,2,2,-,-
extract,extract,extract,7,7,extract,extract
information,inform,inform,6,6,inform,inform
from,from,from,4,4,-,-
the,the,the,3,3,-,-
enormous,enorm,enorm,5,5,enorm,enorm
data,data,dat,4,3,data,dat
sets,set,set,3,3,set,set
generated,gener,gen,5,3,gener,gen
by,by,by,2,2,-,-
modern,modern,modern,6,6,modern,modern
experimental,experiment,expery,10,6,experiment,expery
and,and,and,3,3,-,-
observational,observ,observ,6,6,observ,observ
methods,method,method,6,6,method,method
Metadata,metadata,metadat,8,7,metadata,metadat
or,or,or,2,2,-,-
data,data,dat,4,3,data,dat
about,about,about,5,5,-,-
a,a,a,1,1,-,-
given,given,giv,5,3,given,giv
data,data,dat,4,3,data,dat
set,set,set,3,3,set,set
are,are,ar,3,2,-,ar
often,often,oft,5,3,often,oft
expressed,express,express,7,7,express,express
in,in,in,2,2,-,-
a,a,a,1,1,-,-
condensed,condens,condens,7,7,condens,condens
data,data,dat,4,3,data,dat
mine-able,mine-,mine-abl,5,8,mine-,mine-abl
format,format,form,6,4,format,form
or,or,or,2,2,-,-
one,one,on,3,2,one,-
that,that,that,4,4,-,-
facilitates,facilit,facilit,7,7,facilit,facilit
the,the,the,3,3,-,-
practice,practic,pract,7,5,practic,pract
of,of,of,2,2,-,-
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
Common,common,common,6,6,common,common
examples,exampl,exampl,6,6,exampl,exampl
include,includ,includ,6,6,includ,includ
executive,execut,execut,6,6,execut,execut
summaries,summari,sum,7,3,summari,sum
and,and,and,3,3,-,-
scientific,scientif,sci,8,3,scientif,sci
abstracts,abstract,abstract,8,8,abstract,abstract
Although,although,although,8,8,although,although
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
is,is,is,2,2,-,-
a,a,a,1,1,-,-
relatively,rel,rel,3,3,rel,rel
new,new,new,3,3,new,new
term,term,term,4,4,term,term
the,the,the,3,3,-,-
technology,technolog,technolog,9,9,technolog,technolog
is,is,is,2,2,-,-
not,not,not,3,3,-,-
Companies,compani,company,7,7,compani,company
for,for,for,3,3,-,-
a,a,a,1,1,-,-
long,long,long,4,4,long,long
time,time,tim,4,3,time,tim
have,have,hav,4,3,-,hav
used,use,us,3,2,use,us
powerful,power,pow,5,3,power,pow
computers,comput,comput,6,6,comput,comput
to,to,to,2,2,-,-
sift,sift,sift,4,4,sift,sift
through,through,through,7,7,-,-
volumes,volum,volum,5,5,volum,volum
of,of,of,2,2,-,-
data,data,dat,4,3,data,dat
such,such,such,4,4,-,-
as,as,as,2,2,-,-
supermarket,supermarket,supermarket,11,11,supermarket,supermarket
scanner,scanner,scan,7,4,scanner,scan
data,data,dat,4,3,data,dat
and,and,and,3,3,-,-
produce,produc,produc,6,6,produc,produc
market,market,market,6,6,market,market
research,research,research,8,8,research,research
reports,report,report,6,6,report,report
Continuous,continu,continu,7,7,continu,continu
innovations,innov,innov,5,5,innov,innov
in,in,in,2,2,-,-
computer,comput,comput,6,6,comput,comput
processing,process,process,7,7,process,process
power,power,pow,5,3,power,pow
disk,disk,disk,4,4,disk,disk
storage,storag,stor,6,4,storag,stor
and,and,and,3,3,-,-
statistical,statist,stat,7,4,statist,stat
software,softwar,softw,7,5,softwar,softw
are,are,ar,3,2,-,ar
dramatically,dramat,dram,6,4,dramat,dram
increasing,increas,increas,7,7,increas,increas
the,the,the,3,3,-,-
accuracy,accuraci,acc,8,3,accuraci,acc
and,and,and,3,3,-,-
usefulness,use,us,3,2,use,us
of,of,of,2,2,-,-
analysis,analysi,analys,7,6,analysi,analys
Data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
identifies,identifi,ident,8,5,identifi,ident
trends,trend,trend,5,5,trend,trend
within,within,within,6,6,within,within
data,data,dat,4,3,data,dat
that,that,that,4,4,-,-
go,go,go,2,2,go,go
beyond,beyond,beyond,6,6,beyond,beyond
simple,simpl,simpl,5,5,simpl,simpl
analysis,analysi,analys,7,6,analysi,analys
Through,through,through,7,7,-,-
the,the,the,3,3,-,-
use,use,us,3,2,use,us
of,of,of,2,2,-,-
sophisticated,sophist,soph,7,4,sophist,soph
algorithms,algorithm,algorithm,9,9,algorithm,algorithm
users,user,us,4,2,user,us
have,have,hav,4,3,-,hav
the,the,the,3,3,-,-
ability,abil,abl,4,3,abil,abl
to,to,to,2,2,-,-
identify,identifi,ident,8,5,identifi,ident
key,key,key,3,3,key,key
attributes,attribut,attribut,8,8,attribut,attribut
of,of,of,2,2,-,-
business,busi,busy,4,4,busi,busy
processes,process,process,7,7,process,process
and,and,and,3,3,-,-
target,target,target,6,6,target,target
opportunities,opportun,opportun,8,8,opportun,opportun
The,the,the,3,3,-,-
term,term,term,4,4,term,term
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
is,is,is,2,2,-,-
often,often,oft,5,3,often,oft
used,use,us,3,2,use,us
to,to,to,2,2,-,-
apply,appli,apply,5,5,appli,apply
to,to,to,2,2,-,-
the,the,the,3,3,-,-
two,two,two,3,3,two,two
separate,separ,sep,5,3,separ,sep
processes,process,process,7,7,process,process
of,of,of,2,2,-,-
knowledge,knowledg,knowledg,8,8,knowledg,knowledg
discovery,discoveri,discovery,9,9,discoveri,discovery
and,and,and,3,3,-,-
prediction,predict,predict,7,7,predict,predict
Knowledge,knowledg,knowledg,8,8,knowledg,knowledg
discovery,discoveri,discovery,9,9,discoveri,discovery
provides,provid,provid,6,6,provid,provid
explicit,explicit,explicit,8,8,explicit,explicit
information,inform,inform,6,6,inform,inform
that,that,that,4,4,-,-
has,ha,has,2,3,ha,-
a,a,a,1,1,-,-
readable,readabl,read,7,4,readabl,read
form,form,form,4,4,form,form
and,and,and,3,3,-,-
can,can,can,3,3,-,-
be,be,be,2,2,-,-
understood,understood,understood,10,10,understood,understood
by,by,by,2,2,-,-
a,a,a,1,1,-,-
user,user,us,4,2,user,us
Forecasting,forecast,forecast,8,8,forecast,forecast
or,or,or,2,2,-,-
predictive,predict,predict,7,7,predict,predict
modeling,model,model,5,5,model,model
provides,provid,provid,6,6,provid,provid
predictions,predict,predict,7,7,predict,predict
of,of,of,2,2,-,-
future,futur,fut,5,3,futur,fut
events,event,ev,5,2,event,ev
and,and,and,3,3,-,-
may,may,may,3,3,may,may
be,be,be,2,2,-,-
transparent,transpar,transp,8,6,transpar,transp
and,and,and,3,3,-,-
readable,readabl,read,7,4,readabl,read
in,in,in,2,2,-,-
some,some,som,4,3,-,som
approaches,approach,approach,8,8,approach,approach
eg,eg,eg,2,2,eg,eg
rule,rule,rul,4,3,rule,rul
based,base,bas,4,3,base,bas
systems,system,system,6,6,system,system
and,and,and,3,3,-,-
opaque,opaqu,opaqu,5,5,opaqu,opaqu
in,in,in,2,2,-,-
others,other,oth,5,3,-,oth
such,such,such,4,4,-,-
as,as,as,2,2,-,-
neural,neural,neur,6,4,neural,neur
networks,network,network,7,7,network,network
Moreover,moreov,moreov,6,6,moreov,moreov
some,some,som,4,3,-,som
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
systems,system,system,6,6,system,system
such,such,such,4,4,-,-
as,as,as,2,2,-,-
neural,neural,neur,6,4,neural,neur
networks,network,network,7,7,network,network
are,are,ar,3,2,-,ar
inherently,inher,inh,5,3,inher,inh
geared,gear,gear,4,4,gear,gear
towards,toward,toward,6,6,toward,toward
prediction,predict,predict,7,7,predict,predict
and,and,and,3,3,-,-
pattern,pattern,pattern,7,7,pattern,pattern
recognition,recognit,recognit,8,8,recognit,recognit
rather,rather,rath,6,4,rather,rath
than,than,than,4,4,-,-
knowledge,knowledg,knowledg,8,8,knowledg,knowledg
discovery,discoveri,discovery,9,9,discoveri,discovery
The,the,the,3,3,-,-
term,term,term,4,4,term,term
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
is,is,is,2,2,-,-
often,often,oft,5,3,often,oft
used,use,us,3,2,use,us
incorrectly,incorrectli,incorrect,11,9,incorrectli,incorrect
to,to,to,2,2,-,-
apply,appli,apply,5,5,appli,apply
to,to,to,2,2,-,-
a,a,a,1,1,-,-
variety,varieti,vary,7,4,varieti,vary
of,of,of,2,2,-,-
other,other,oth,5,3,-,oth
processes,process,process,7,7,process,process
besides,besid,besid,5,5,besid,besid
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
In,in,in,2,2,-,-
many,mani,many,4,4,mani,many
cases,case,cas,4,3,case,cas
applications,applic,apply,6,5,applic,apply
may,may,may,3,3,may,may
claim,claim,claim,5,5,claim,claim
to,to,to,2,2,-,-
perform,perform,perform,7,7,perform,perform
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
by,by,by,2,2,-,-
automating,autom,autom,5,5,autom,autom
the,the,the,3,3,-,-
creation,creation,cre,8,3,creation,cre
of,of,of,2,2,-,-
charts,chart,chart,5,5,chart,chart
or,or,or,2,2,-,-
graphs,graph,graph,5,5,graph,graph
with,with,with,4,4,-,-
historic,histor,hist,6,4,histor,hist
trends,trend,trend,5,5,trend,trend
and,and,and,3,3,-,-
analysis,analysi,analys,7,6,analysi,analys
Although,although,although,8,8,although,although
this,thi,thi,3,3,thi,thi
information,inform,inform,6,6,inform,inform
may,may,may,3,3,may,may
be,be,be,2,2,-,-
useful,use,us,3,2,use,us
and,and,and,3,3,-,-
timesaving,timesav,timesav,7,7,timesav,timesav
it,it,it,2,2,-,-
does,doe,doe,3,3,doe,doe
not,not,not,3,3,-,-
fit,fit,fit,3,3,fit,fit
the,the,the,3,3,-,-
traditional,tradit,tradit,6,6,tradit,tradit
definition,definit,definit,7,7,definit,definit
of,of,of,2,2,-,-
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
as,as,as,2,2,-,-
the,the,the,3,3,-,-
application,applic,apply,6,5,applic,apply
performs,perform,perform,7,7,perform,perform
no,no,no,2,2,-,-
analysis,analysi,analys,7,6,analysi,analys
itself,itself,itself,6,6,-,-
and,and,and,3,3,-,-
has,ha,has,2,3,ha,-
no,no,no,2,2,-,-
understanding,understand,understand,10,10,understand,understand
of,of,of,2,2,-,-
the,the,the,3,3,-,-
underlying,underli,und,7,3,underli,und
data,data,dat,4,3,data,dat
Instead,instead,instead,7,7,instead,instead
it,it,it,2,2,-,-
relies,reli,rely,4,4,reli,rely
on,on,on,2,2,-,-
templates,templat,templ,7,5,templat,templ
or,or,or,2,2,-,-
pre-defined,pre-defin,pre-defined,9,11,pre-defin,pre-defined
macros,macro,macro,5,5,macro,macro
created,creat,cre,5,3,creat,cre
either,either,eith,6,4,either,eith
by,by,by,2,2,-,-
programmers,programm,program,8,7,programm,program
or,or,or,2,2,-,-
users,user,us,4,2,user,us
to,to,to,2,2,-,-
identify,identifi,ident,8,5,identifi,ident
trends,trend,trend,5,5,trend,trend
patterns,pattern,pattern,7,7,pattern,pattern
and,and,and,3,3,-,-
differences,differ,diff,6,4,differ,diff
A,a,a,1,1,-,-
key,key,key,3,3,key,key
defining,defin,defin,5,5,defin,defin
factor,factor,fact,6,4,factor,fact
for,for,for,3,3,-,-
true,true,tru,4,3,true,tru
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
is,is,is,2,2,-,-
that,that,that,4,4,-,-
the,the,the,3,3,-,-
application,applic,apply,6,5,applic,apply
itself,itself,itself,6,6,-,-
is,is,is,2,2,-,-
performing,perform,perform,7,7,perform,perform
some,some,som,4,3,-,som
real,real,real,4,4,real,real
analysis,analysi,analys,7,6,analysi,analys
In,in,in,2,2,-,-
almost,almost,almost,6,6,almost,almost
all,all,al,3,2,-,al
cases,case,cas,4,3,case,cas
this,thi,thi,3,3,thi,thi
analysis,analysi,analys,7,6,analysi,analys
is,is,is,2,2,-,-
guided,guid,guid,4,4,guid,guid
by,by,by,2,2,-,-
some,some,som,4,3,-,som
degree,degre,degr,5,4,degre,degr
of,of,of,2,2,-,-
user,user,us,4,2,user,us
interaction,interact,interact,8,8,interact,interact
but,but,but,3,3,-,-
it,it,it,2,2,-,-
must,must,must,4,4,must,must
provide,provid,provid,6,6,provid,provid
the,the,the,3,3,-,-
user,user,us,4,2,user,us
some,some,som,4,3,-,som
insights,insight,insight,7,7,insight,insight
that,that,that,4,4,-,-
are,are,ar,3,2,-,ar
not,not,not,3,3,-,-
readily,readili,ready,7,5,readili,ready
apparent,appar,app,5,3,appar,app
through,through,through,7,7,-,-
simple,simpl,simpl,5,5,simpl,simpl
slicing,slice,slic,5,4,slice,slic
and,and,and,3,3,-,-
dicing,dice,dic,4,3,dice,dic
Applications,applic,apply,6,5,applic,apply
that,that,that,4,4,-,-
are,are,ar,3,2,-,ar
not,not,not,3,3,-,-
to,to,to,2,2,-,-
some,some,som,4,3,-,som
degree,degre,degr,5,4,degre,degr
self-guiding,self-guid,self-guiding,9,12,self-guid,self-guiding
are,are,ar,3,2,-,ar
performing,perform,perform,7,7,perform,perform
data,data,dat,4,3,data,dat
analysis,analysi,analys,7,6,analysi,analys
not,not,not,3,3,-,-
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
Although,although,although,8,8,although,although
the,the,the,3,3,-,-
term,term,term,4,4,term,term
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
is,is,is,2,2,-,-
usually,usual,us,5,2,usual,us
used,use,us,3,2,use,us
in,in,in,2,2,-,-
relation,relat,rel,5,3,relat,rel
to,to,to,2,2,-,-
analysis,analysi,analys,7,6,analysi,analys
of,of,of,2,2,-,-
data,data,dat,4,3,data,dat
like,like,lik,4,3,like,lik
artificial,artifici,art,8,3,artifici,art
intelligence,intellig,intellig,8,8,intellig,intellig
it,it,it,2,2,-,-
is,is,is,2,2,-,-
an,an,an,2,2,-,-
umbrella,umbrella,umbrell,8,7,umbrella,umbrell
term,term,term,4,4,term,term
with,with,with,4,4,-,-
varied,vari,vary,4,4,vari,vary
meanings,mean,mean,4,4,mean,mean
in,in,in,2,2,-,-
a,a,a,1,1,-,-
wide,wide,wid,4,3,wide,wid
range,rang,rang,4,4,rang,rang
of,of,of,2,2,-,-
contexts,context,context,7,7,context,context
Unlike,unlik,unlik,5,5,unlik,unlik
data,data,dat,4,3,data,dat
analysis,analysi,analys,7,6,analysi,analys
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
is,is,is,2,2,-,-
not,not,not,3,3,-,-
based,base,bas,4,3,base,bas
or,or,or,2,2,-,-
focused,focus,focus,5,5,focus,focus
on,on,on,2,2,-,-
an,an,an,2,2,-,-
existing,exist,ex,5,2,exist,ex
model,model,model,5,5,model,model
which,which,which,5,5,-,-
is,is,is,2,2,-,-
to,to,to,2,2,-,-
be,be,be,2,2,-,-
tested,test,test,4,4,test,test
or,or,or,2,2,-,-
whose,whose,whos,5,4,whose,whos
parameters,paramet,paramet,7,7,paramet,paramet
are,are,ar,3,2,-,ar
to,to,to,2,2,-,-
be,be,be,2,2,-,-
optimized,optim,optim,5,5,optim,optim
A,a,a,1,1,-,-
promising,promis,prom,6,4,promis,prom
application,applic,apply,6,5,applic,apply
of,of,of,2,2,-,-
Knowledge,knowledg,knowledg,8,8,knowledg,knowledg
discovery,discoveri,discovery,9,9,discoveri,discovery
is,is,is,2,2,-,-
in,in,in,2,2,-,-
the,the,the,3,3,-,-
area,area,are,4,3,area,-
of,of,of,2,2,-,-
software,softwar,softw,7,5,softwar,softw
modernization,modern,modern,6,6,modern,modern
which,which,which,5,5,-,-
involves,involv,involv,6,6,involv,involv
understanding,understand,understand,10,10,understand,understand
existing,exist,ex,5,2,exist,ex
software,softwar,softw,7,5,softwar,softw
artifacts,artifact,artifact,8,8,artifact,artifact
Usually,usual,us,5,2,usual,us
the,the,the,3,3,-,-
knowledge,knowledg,knowledg,8,8,knowledg,knowledg
obtained,obtain,obtain,6,6,obtain,obtain
from,from,from,4,4,-,-
existing,exist,ex,5,2,exist,ex
software,softwar,softw,7,5,softwar,softw
is,is,is,2,2,-,-
presented,present,pres,7,4,present,pres
in,in,in,2,2,-,-
the,the,the,3,3,-,-
form,form,form,4,4,form,form
of,of,of,2,2,-,-
models,model,model,5,5,model,model
to,to,to,2,2,-,-
which,which,which,5,5,-,-
specific,specif,spec,6,4,specif,spec
queries,queri,query,5,5,queri,query
can,can,can,3,3,-,-
be,be,be,2,2,-,-
made,made,mad,4,3,made,mad
when,when,when,4,4,-,-
necessary,necessari,necess,9,6,necessari,necess
An,an,an,2,2,-,-
entity,entiti,ent,6,3,entiti,ent
relationship,relationship,rel,12,3,relationship,rel
is,is,is,2,2,-,-
a,a,a,1,1,-,-
frequent,frequent,frequ,8,5,frequent,frequ
format,format,form,6,4,format,form
of,of,of,2,2,-,-
representing,repres,repres,6,6,repres,repres
knowledge,knowledg,knowledg,8,8,knowledg,knowledg
obtained,obtain,obtain,6,6,obtain,obtain
from,from,from,4,4,-,-
existing,exist,ex,5,2,exist,ex
software,softwar,softw,7,5,softwar,softw
Object,object,object,6,6,object,object
Management,manag,man,5,3,manag,man
Group,group,group,5,5,group,group
OMG,omg,omg,3,3,omg,omg
developed,develop,develop,7,7,develop,develop
specification,specif,spec,6,4,specif,spec
Knowledge,knowledg,knowledg,8,8,knowledg,knowledg
Discovery,discoveri,discovery,9,9,discoveri,discovery
Metamodel,metamodel,metamodel,9,9,metamodel,metamodel
KDM,kdm,kdm,3,3,kdm,kdm
which,which,which,5,5,-,-
defines,defin,defin,5,5,defin,defin
an,an,an,2,2,-,-
ontology,ontolog,ontolog,7,7,ontolog,ontolog
for,for,for,3,3,-,-
the,the,the,3,3,-,-
software,softwar,softw,7,5,softwar,softw
assets,asset,asset,5,5,asset,asset
and,and,and,3,3,-,-
their,their,their,5,5,-,-
relationships,relationship,rel,12,3,relationship,rel
for,for,for,3,3,-,-
the,the,the,3,3,-,-
purpose,purpos,purpos,6,6,purpos,purpos
of,of,of,2,2,-,-
performing,perform,perform,7,7,perform,perform
knowledge,knowledg,knowledg,8,8,knowledg,knowledg
discovery,discoveri,discovery,9,9,discoveri,discovery
of,of,of,2,2,-,-
existing,exist,ex,5,2,exist,ex
code,code,cod,4,3,code,cod
Knowledge,knowledg,knowledg,8,8,knowledg,knowledg
discovery,discoveri,discovery,9,9,discoveri,discovery
from,from,from,4,4,-,-
existing,exist,ex,5,2,exist,ex
software,softwar,softw,7,5,softwar,softw
systems,system,system,6,6,system,system
also,also,also,4,4,also,also
known,known,known,5,5,known,known
as,as,as,2,2,-,-
software,softwar,softw,7,5,softwar,softw
mining,mine,min,4,3,mine,min
is,is,is,2,2,-,-
closely,close,clos,5,4,close,clos
related,relat,rel,5,3,relat,rel
to,to,to,2,2,-,-
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
since,sinc,sint,4,4,sinc,sint
existing,exist,ex,5,2,exist,ex
software,softwar,softw,7,5,softwar,softw
artifacts,artifact,artifact,8,8,artifact,artifact
contain,contain,contain,7,7,contain,contain
enormous,enorm,enorm,5,5,enorm,enorm
business,busi,busy,4,4,busi,busy
value,valu,valu,4,4,valu,valu
key,key,key,3,3,key,key
for,for,for,3,3,-,-
the,the,the,3,3,-,-
evolution,evolut,evolv,6,5,evolut,evolv
of,of,of,2,2,-,-
software,softwar,softw,7,5,softwar,softw
systems,system,system,6,6,system,system
Knowledge,knowledg,knowledg,8,8,knowledg,knowledg
Discovery,discoveri,discovery,9,9,discoveri,discovery
from,from,from,4,4,-,-
software,softwar,softw,7,5,softwar,softw
systems,system,system,6,6,system,system
addresses,address,address,7,7,address,address
structure,structur,structure,8,9,structur,structure
behavior,behavior,behavy,8,6,behavior,behavy
as,as,as,2,2,-,-
well,well,wel,4,3,well,wel
as,as,as,2,2,-,-
the,the,the,3,3,-,-
data,data,dat,4,3,data,dat
processed,process,process,7,7,process,process
by,by,by,2,2,-,-
the,the,the,3,3,-,-
software,softwar,softw,7,5,softwar,softw
system,system,system,6,6,system,system
Instead,instead,instead,7,7,instead,instead
of,of,of,2,2,-,-
mining,mine,min,4,3,mine,min
individual,individu,individ,8,7,individu,individ
data,data,dat,4,3,data,dat
sets,set,set,3,3,set,set
software,softwar,softw,7,5,softwar,softw
mining,mine,min,4,3,mine,min
focuses,focus,focus,5,5,focus,focus
on,on,on,2,2,-,-
metadata,metadata,metadat,8,7,metadata,metadat
such,such,such,4,4,-,-
as,as,as,2,2,-,-
database,databas,databas,7,7,databas,databas
schemas,schema,schemas,6,7,schema,schemas
OMG,omg,omg,3,3,omg,omg
Knowledge,knowledg,knowledg,8,8,knowledg,knowledg
Discovery,discoveri,discovery,9,9,discoveri,discovery
Metamodel,metamodel,metamodel,9,9,metamodel,metamodel
provides,provid,provid,6,6,provid,provid
an,an,an,2,2,-,-
integrated,integr,integr,6,6,integr,integr
representation,represent,repres,9,6,represent,repres
to,to,to,2,2,-,-
capturing,captur,capt,6,4,captur,capt
application,applic,apply,6,5,applic,apply
metadata,metadata,metadat,8,7,metadata,metadat
as,as,as,2,2,-,-
part,part,part,4,4,part,part
of,of,of,2,2,-,-
a,a,a,1,1,-,-
holistic,holist,hol,6,3,holist,hol
existing,exist,ex,5,2,exist,ex
system,system,system,6,6,system,system
metamodel,metamodel,metamodel,9,9,metamodel,metamodel
Another,anoth,anoth,5,5,anoth,anoth
OMG,omg,omg,3,3,omg,omg
specification,specif,spec,6,4,specif,spec
the,the,the,3,3,-,-
Common,common,common,6,6,common,common
Warehouse,warehous,wareh,8,5,warehous,wareh
Metamodel,metamodel,metamodel,9,9,metamodel,metamodel
focuses,focus,focus,5,5,focus,focus
entirely,entir,entir,5,5,entir,entir
on,on,on,2,2,-,-
mining,mine,min,4,3,mine,min
